epoch,phase,loss,top1,top5,lr,imgs_per_sec
210,train,1.750656,81.5865,93.7511,0.00006367,387.13
210,val,1.850343,77.5320,93.6780,0.00006367,706.78
211,train,1.744047,81.8349,93.7834,0.00005033,385.15
211,val,1.851768,77.4780,93.6940,0.00005033,570.68
212,train,1.737768,82.0039,93.8349,0.00003856,387.27
212,val,1.849332,77.6420,93.7300,0.00003856,708.70
213,train,1.731590,82.2037,93.8900,0.00002835,387.18
213,val,1.847181,77.6220,93.7180,0.00002835,740.14
214,train,1.726418,82.3289,93.9584,0.00001971,384.53
214,val,1.844721,77.7280,93.7760,0.00001971,1076.89
215,train,1.721011,82.4865,94.0130,0.00001263,384.65
215,val,1.843701,77.6360,93.7680,0.00001263,560.53
216,train,1.718564,82.5367,94.0354,0.00000713,385.31
216,val,1.842680,77.7320,93.8160,0.00000713,713.24
217,train,1.716035,82.6036,94.0473,0.00000320,386.02
217,val,1.843692,77.6900,93.7720,0.00000320,797.70
218,train,1.710645,82.7642,94.1540,0.00000084,387.89
218,val,1.842386,77.7120,93.7820,0.00000084,683.36
219,train,1.714628,82.6466,94.0554,0.00000005,390.14
219,val,1.844003,77.8060,93.7920,0.00000005,703.19
220,val,1.844003,77.8060,93.7920,0.00000005,779.93
220,train,1.713558,82.7024,94.0939,0.00000005,381.91
220,val,1.841526,77.7140,93.7680,0.00000005,949.58
220,val,1.844003,77.8060,93.7920,0.00000005,790.91
220,train,1.713163,82.6920,94.1012,0.00000005,384.94
220,val,1.842444,77.7780,93.7880,0.00000005,733.35
221,train,1.712153,82.7300,94.0973,0.00000005,390.84
221,val,1.841839,77.6800,93.8020,0.00000005,700.26
222,train,1.714329,82.6896,94.0657,0.00000005,391.14
222,val,1.843028,77.6780,93.7680,0.00000005,1127.54
223,train,1.711595,82.7479,94.1135,0.00000005,387.74
223,val,1.839776,77.7300,93.8400,0.00000005,1131.60
224,train,1.715146,82.6690,94.0748,0.00000005,391.31
224,val,1.841627,77.7160,93.7520,0.00000005,1128.41
225,train,1.715885,82.5958,94.0493,0.00000005,391.36
225,val,1.841426,77.7540,93.7740,0.00000005,1128.44
226,train,1.714433,82.6816,94.0731,0.00000005,387.77
